sre_c01.100A,LINF_010010100
sre_c27.780N,LINF_270028600
sre_c27.790N,LINF_270030200
sre_c27.80,LINF_270007550
sre_c27.90,LINF_270007550
sre_c28.100A,LINF_280009350
sre_c28.110A,LINF_280009600
sre_c28.120A,LINF_280009750
sre_c28.140B,LINF_280012700
sre_c28.160,LINF_280015450
sre_c28.180C,LINF_280016650
sre_c28.190C,LINF_280016900
sre_c28.20,LINF_280005800
sre_c28.200D,LINF_280017100
sre_c28.210,LINF_280019300
sre_c28.220D,LINF_280019400
sre_c28.230,LINF_280019600
sre_c28.240,LINF_280019600
sre_c28.250D,LINF_280019600
sre_c28.260,LINF_280019700
sre_c28.270D,LINF_280019700
sre_c28.280E,LINF_280019700
sre_c28.290E,LINF_280019800
sre_c28.30,LINF_280006850
sre_c28.300,LINF_280019900
sre_c28.310D,LINF_280020050
sre_c28.320F,LINF_280020050
sre_c28.330F,LINF_280021400
sre_c28.350F,LINF_280022200
sre_c28.360,LINF_280023300
sre_c28.370G,LINF_280025900
sre_c28.380H,LINF_280026200
sre_c28.390H,LINF_280026450
sre_c28.400G,LINF_280026600
sre_c28.40A,LINF_280007300
sre_c28.410H,LINF_280027400
sre_c28.440,LINF_280027960
sre_c28.450H,LINF_280027960
sre_c28.460H,LINF_280029250
sre_c28.470I,LINF_280030150
sre_c28.480I,LINF_280030700
sre_c28.50,LINF_280008300
sre_c28.500G,LINF_280032200
sre_c28.510I,LINF_280032300
sre_c28.520I,LINF_280032650
sre_c28.530J,LINF_280036800
sre_c28.540,LINF_280037200
sre_c28.550J,LINF_280037700
sre_c28.560J,LINF_280039700
sre_c28.60A,LINF_280008350
sre_c28.70,LINF_280008350
sre_c28.80,LINF_280008350
sre_c28.90A,LINF_280009200
sre_c29.1000P,LINF_290031600
sre_c29.1020P,LINF_290031700
sre_c29.1030P,LINF_290031800
sre_c29.1040N,LINF_290032100
sre_c29.1050N,LINF_290032200
sre_c29.1060Q,LINF_290032800
sre_c29.1070,LINF_290033100
sre_c29.1090Q,LINF_290033600
sre_c29.1120N,LINF_290035050
sre_c29.1130N,LINF_290035050
sre_c29.1150J,LINF_290035700
sre_c29.1160R,LINF_290035800
sre_c29.1170N,LINF_290035800
sre_c29.1180N,LINF_290035800
sre_c29.120E,LINF_290007400
sre_c29.150E,LINF_290008900
sre_c29.160,LINF_290009350
sre_c29.170,LINF_290009350
sre_c29.180,LINF_290009350
sre_c29.190,LINF_290009400
sre_c29.200,LINF_290009400
sre_c29.20B,LINF_290005350
sre_c29.220F,LINF_290010600
sre_c29.230G,LINF_290012400
sre_c29.240G,LINF_290012900
sre_c29.260F,LINF_290013800
sre_c29.270,LINF_290013800
sre_c29.280H,LINF_290014100
sre_c29.290H,LINF_290014250
sre_c29.300H,LINF_290014300
sre_c29.310,LINF_290014550
sre_c29.330H,LINF_290014575
sre_c29.340,LINF_290015150
sre_c29.350H,LINF_290015200
sre_c29.360H,LINF_290015400
sre_c29.390,LINF_290017300
sre_c29.400,LINF_290018600
sre_c29.40B,LINF_290005550
sre_c29.420,LINF_290019000
sre_c29.430J,LINF_290019350
sre_c29.450I,LINF_290019445
sre_c29.460I,LINF_290019500
sre_c29.470I,LINF_290019600
sre_c29.480J,LINF_290019700
sre_c29.490,LINF_290019700
sre_c29.500I,LINF_290019925
sre_c29.510I,LINF_290019925
sre_c29.520I,LINF_290020000
sre_c29.540I,LINF_290020150
sre_c29.550I,LINF_290020550
sre_c29.560I,LINF_290020550
sre_c29.570I,LINF_290020550
sre_c29.580I,LINF_290020550
sre_c29.590I,LINF_290020800
sre_c29.60,LINF_290005900
sre_c29.600,LINF_290020800
sre_c29.610K,LINF_290020900
sre_c29.620K,LINF_290021100
sre_c29.630K,LINF_290021300
sre_c29.640K,LINF_290021500
sre_c29.650I,LINF_290021550
sre_c29.660I,LINF_290021700
sre_c29.670I,LINF_290021800
sre_c29.680K,LINF_290022000
sre_c29.690,LINF_290022000
sre_c29.700,LINF_290023300
sre_c29.70I,LINF_290005900
sre_c29.710I,LINF_290023350
sre_c29.720I,LINF_290023500
sre_c29.730I,LINF_290023560
sre_c29.740,LINF_290026000
sre_c29.750L,LINF_290026300
sre_c29.760L,LINF_290026400
sre_c29.770,LINF_290026700
sre_c29.780,LINF_290027050
sre_c29.790L,LINF_290027050
sre_c29.80,LINF_290005900
sre_c29.810N,LINF_290028200
sre_c29.820M,LINF_290028700
sre_c29.840N,LINF_290028850
sre_c29.850N,LINF_290028900
sre_c29.860N,LINF_290029000
sre_c29.870N,LINF_290029100
sre_c29.880M,LINF_290029100
sre_c29.890M,LINF_290029200
sre_c29.900M,LINF_290029550
sre_c29.90B,LINF_290006030
sre_c29.910O,LINF_290029900
sre_c29.920M,LINF_290030000
sre_c29.930O,LINF_290030100
sre_c29.940N,LINF_290030150
sre_c29.950,LINF_290030150
sre_c29.960P,LINF_290030600
sre_c29.970,LINF_290030600
sre_c29.980P,LINF_290030650
sre_c29.990P,LINF_290030800
sre_c30.10,LINF_300004800
sre_c30.100B,LINF_300013800
sre_c30.110B,LINF_300014400
sre_c30.120,LINF_300014500
sre_c30.130C,LINF_300014500
sre_c30.140B,LINF_300014900
sre_c30.150B,LINF_300015100
sre_c30.160C,LINF_300015100
sre_c30.170B,LINF_300015700
sre_c30.190E,LINF_300016400
sre_c30.20,LINF_300005050
sre_c30.200D,LINF_300016600
sre_c30.210D,LINF_300017000
sre_c30.230D,LINF_300017900
sre_c30.240I,LINF_300019400
sre_c30.250E,LINF_300019800
sre_c30.260F,LINF_300019800
sre_c30.280E,LINF_300019900
sre_c30.290F,LINF_300019900
sre_c30.300G,LINF_300019900
sre_c30.310G,LINF_300019900
sre_c30.320I,LINF_300020050
sre_c30.340I,LINF_300020200
sre_c30.360I,LINF_300021150
sre_c30.370I,LINF_300021650
sre_c30.380I,LINF_300022500
sre_c30.390I,LINF_300022900
sre_c30.40,LINF_300006300
sre_c30.400I,LINF_300023500
sre_c30.410J,LINF_300025450
sre_c30.420J,LINF_300025600
sre_c30.430J,LINF_300026050
sre_c30.440L,LINF_300026050
sre_c30.450J,LINF_300027100
sre_c30.460J,LINF_300027100
sre_c30.470J,LINF_300027200
sre_c30.480J,LINF_300027200
sre_c30.490K,LINF_300027200
sre_c30.500,LINF_300027200
sre_c30.510J,LINF_300027200
sre_c30.520J,LINF_300027200
sre_c30.530,LINF_300027250
sre_c30.550J,LINF_300027300
sre_c30.560J,LINF_300027300
sre_c30.570K,LINF_300027600
sre_c30.580,LINF_300028900
sre_c30.590J,LINF_300028900
sre_c30.600J,LINF_300028900
sre_c30.60A,LINF_300008400
sre_c30.610,LINF_300030800
sre_c30.620,LINF_300030800
sre_c30.630,LINF_300030800
sre_c30.640L,LINF_300030800
sre_c30.650L,LINF_300030900
sre_c30.660L,LINF_300032050
sre_c30.670M,LINF_300032500
sre_c30.680M,LINF_300033300
sre_c30.690N,LINF_300033950
sre_c30.700,LINF_300034800
sre_c30.70A,LINF_300008500
sre_c30.710O,LINF_300036400
sre_c30.720P,LINF_300036700
sre_c30.730O,LINF_300036700
sre_c30.740,LINF_300036800
sre_c30.750O,LINF_300036800
sre_c30.760O,LINF_300037000
sre_c30.770,LINF_300037000
sre_c30.780P,LINF_300037300
sre_c30.790P,LINF_300037300
sre_c30.800O,LINF_300037400
sre_c30.80B,LINF_300011100
sre_c30.810O,LINF_300037500
sre_c30.820Q,LINF_300038700
sre_c30.830P,LINF_300039400
sre_c30.840R,LINF_300039400
sre_c30.850Q,LINF_300039500
sre_c30.860P,LINF_300039600
sre_c30.870Q,LINF_300039600
sre_c30.880R,LINF_300039700
sre_c30.890N,LINF_300040550
sre_c30.90B,LINF_300011200
sre_c30.920P,LINF_300041000
sre_c30.930P,LINF_300041100
sre_c30.940P,LINF_300041100
sre_c30.950P,LINF_300041850
sre_c30.960,LINF_300042100
sre_c30.970P,LINF_300042100
sre_c30.980P,LINF_300042700
sre_c30.990P,LINF_300042700
sre_c31.100,LINF_310009800
sre_c31.1000W,LINF_310036800
sre_c31.1010W,LINF_310037900
sre_c31.1020,LINF_310037950
sre_c31.1030W,LINF_310038200
sre_c31.1040,LINF_310039900
sre_c31.110D,LINF_310009850
sre_c31.120,LINF_310009850
sre_c31.130E,LINF_310009900
sre_c31.140C,LINF_310010400
sre_c31.150E,LINF_310010700
sre_c31.180C,LINF_310012730
sre_c31.190F,LINF_310013425
sre_c31.200,LINF_310013900
sre_c31.20B,LINF_310005000
sre_c31.210F,LINF_310014100
sre_c31.220F,LINF_310014225
sre_c31.230,LINF_310014900
sre_c31.240G,LINF_310016300
sre_c31.250,LINF_310016350
sre_c31.260,LINF_310016400
sre_c31.270G,LINF_310016700
sre_c31.280G,LINF_310017300
sre_c31.290H,LINF_310018700
sre_c31.30,LINF_310005100
sre_c31.300,LINF_310018950
sre_c31.330I,LINF_310020050
sre_c31.350I,LINF_310020700
sre_c31.360I,LINF_310020750
sre_c31.370,LINF_310020800
sre_c31.380I,LINF_310020900
sre_c31.390,LINF_310021000
sre_c31.400J,LINF_310022400
sre_c31.40B,LINF_310005300
sre_c31.410J,LINF_310022500
sre_c31.440L,LINF_310023300
sre_c31.450L,LINF_310023860
sre_c31.460L,LINF_310024830
sre_c31.470L,LINF_310025150
sre_c31.50,LINF_310008650
sre_c31.510M,LINF_310025600
sre_c31.520M,LINF_310025650
sre_c31.530,LINF_310025800
sre_c31.540,LINF_310025900
sre_c31.560Q,LINF_310026700
sre_c31.570Q,LINF_310026900
sre_c31.580N,LINF_310026900
sre_c31.590N,LINF_310026950
sre_c31.60,LINF_310008700
sre_c31.600O,LINF_310026950
sre_c31.630N,LINF_310027200
sre_c31.640O,LINF_310027200
sre_c31.650Q,LINF_310027550
sre_c31.660P,LINF_310028200
sre_c31.670Q,LINF_310028400
sre_c31.680K,LINF_310028450
sre_c31.690S,LINF_310028600
sre_c31.700Q,LINF_310028600
sre_c31.710Q,LINF_310029100
sre_c31.720R,LINF_310029400
sre_c31.730R,LINF_310029600
sre_c31.740,LINF_310029900
sre_c31.750S,LINF_310030000
sre_c31.760S,LINF_310030175
sre_c31.770T,LINF_310030300
sre_c31.780T,LINF_310030550
sre_c31.790S,LINF_310030900
sre_c31.800S,LINF_310031000
sre_c31.810,LINF_310031150
sre_c31.820U,LINF_310031200
sre_c31.830S,LINF_310031500
sre_c31.840U,LINF_310031550
sre_c31.850U,LINF_310031700
sre_c31.860U,LINF_310031725
sre_c31.870U,LINF_310032100
sre_c31.900S,LINF_310032550
sre_c31.90D,LINF_310009750
sre_c31.910S,LINF_310032600
sre_c31.920,LINF_310032600
sre_c31.930V,LINF_310033500
sre_c31.950V,LINF_310033750
sre_c31.960S,LINF_310034650
sre_c31.990S,LINF_310036700
sre_c32.100B,LINF_320006300
sre_c32.130A,LINF_320007600
sre_c32.140B,LINF_320007600
sre_c32.150A,LINF_320008400
sre_c32.160B,LINF_320008400
sre_c32.170A,LINF_320008500
sre_c32.180B,LINF_320008500
sre_c32.190C,LINF_320009500
sre_c32.200D,LINF_320009700
sre_c32.210D,LINF_320009900
sre_c32.230,LINF_320010700
sre_c32.240,LINF_320010700
sre_c32.250D,LINF_320010700
sre_c32.260E,LINF_320011650
sre_c32.280D,LINF_320012400
sre_c32.290E,LINF_320012600
sre_c32.300,LINF_320013700
sre_c32.310F,LINF_320014830
sre_c32.340F,LINF_320015400
sre_c32.350F,LINF_320015400
sre_c32.360F,LINF_320015500
sre_c32.370H,LINF_320016100
sre_c32.380H,LINF_320017100
sre_c32.390I,LINF_320017200
sre_c32.400H,LINF_320017200
sre_c32.40B,LINF_320005400
sre_c32.410I,LINF_320018300
sre_c32.420,LINF_320018400
sre_c32.430,LINF_320018400
sre_c32.440J,LINF_320018400
sre_c32.450K,LINF_320019000
sre_c32.460K,LINF_320019500
sre_c32.470K,LINF_320019600
sre_c32.480K,LINF_320019600
sre_c32.490K,LINF_320020600
sre_c32.500K,LINF_320020600
sre_c32.50A,LINF_320005850
sre_c32.510K,LINF_320020850
sre_c32.520K,LINF_320020850
sre_c32.540,LINF_320022600
sre_c32.550,LINF_320023850
sre_c32.560L,LINF_320024500
sre_c32.570L,LINF_320024700
sre_c32.580L,LINF_320025100
sre_c32.590L,LINF_320025150
sre_c32.600M,LINF_320025500
sre_c32.60B,LINF_320005850
sre_c32.610M,LINF_320025650
sre_c32.620N,LINF_320025650
sre_c32.640M,LINF_320026600
sre_c32.650M,LINF_320026800
sre_c32.660N,LINF_320027200
sre_c32.680O,LINF_320028800
sre_c32.700P,LINF_320029800
sre_c32.710P,LINF_320030400-500
sre_c32.720P,LINF_320030900
sre_c32.730Q,LINF_320031600
sre_c32.740,LINF_320031600
sre_c32.750R,LINF_320032200
sre_c32.760R,LINF_320032950
sre_c32.770Q,LINF_320033250
sre_c32.780Q,LINF_320033250
sre_c32.790,LINF_320033250
sre_c32.800,LINF_320034800
sre_c32.810,LINF_320035800
sre_c32.830S,LINF_320037800
sre_c32.850,LINF_320038750
sre_c32.860J,LINF_320038750
sre_c32.870T,LINF_320038800
sre_c32.880T,LINF_320039450
sre_c32.890,LINF_320039700
sre_c32.900,LINF_320042300
sre_c32.90A,LINF_320006300
sre_c32.920U,LINF_320046000
sre_c32.930U,LINF_320046800
sre_c33.1000,LINF_330038590
sre_c33.100A,LINF_330007900
sre_c33.1010,LINF_330038800
sre_c33.1020R,LINF_330039200
sre_c33.1030S,LINF_330039700
sre_c33.1040R,LINF_330039700
sre_c33.1050S,LINF_330039850
sre_c33.1060R,LINF_330039850
sre_c33.1070T,LINF_330039900
sre_c33.1080T,LINF_330039900
sre_c33.1090T,LINF_330040000
sre_c33.110,LINF_330008100
sre_c33.1100R,LINF_330040000
sre_c33.1110T,LINF_330040400
sre_c33.1120,LINF_330042350
sre_c33.120,LINF_330008100
sre_c33.140C,LINF_330010300
sre_c33.150D,LINF_330010600
sre_c33.160C,LINF_330010650
sre_c33.170D,LINF_330010700
sre_c33.180C,LINF_330011200
sre_c33.190C,LINF_330012000
sre_c33.200C,LINF_330012200
sre_c33.20A,LINF_330005400
sre_c33.210C,LINF_330012300
sre_c33.220D,LINF_330012400
sre_c33.230C,LINF_330012825
sre_c33.250E,LINF_330014800
sre_c33.260E,LINF_330015600
sre_c33.270E,LINF_330015600
sre_c33.290E,LINF_330016700
sre_c33.300E,LINF_330016900
sre_c33.30B,LINF_330006100
sre_c33.310E,LINF_330017400
sre_c33.320,LINF_330017600
sre_c33.330,LINF_330018000
sre_c33.340,LINF_330018000
sre_c33.350,LINF_330018200
sre_c33.360E,LINF_330018700
sre_c33.370,LINF_330019100
sre_c33.380F,LINF_330019200
sre_c33.390H,LINF_330019200
sre_c33.40A,LINF_330006700
sre_c33.420H,LINF_330020600
sre_c33.430,LINF_330020600
sre_c33.440,LINF_330020600
sre_c33.460F,LINF_330020800
sre_c33.470H,LINF_330020800
sre_c33.480H,LINF_330020900
sre_c33.490H,LINF_330021100
sre_c33.500H,LINF_330021100
sre_c33.50A,LINF_330007000
sre_c33.510G,LINF_330022100
sre_c33.520,LINF_330022500
sre_c33.530H,LINF_330022500
sre_c33.540G,LINF_330022700
sre_c33.550,LINF_330023450
sre_c33.580I,LINF_330025200
sre_c33.590I,LINF_330025400
sre_c33.600J,LINF_330025500
sre_c33.610I,LINF_330025600
sre_c33.620I,LINF_330026700
sre_c33.630I,LINF_330026700
sre_c33.640,LINF_330026700
sre_c33.650I,LINF_330027000
sre_c33.660K,LINF_330028600
sre_c33.670K,LINF_330028650
sre_c33.680,LINF_330028850
sre_c33.690,LINF_330028930
sre_c33.700I,LINF_330029030
sre_c33.70B,LINF_330007200
sre_c33.710J,LINF_330030300
sre_c33.720,LINF_330030900
sre_c33.730L,LINF_330030900
sre_c33.740M,LINF_330030900
sre_c33.750L,LINF_330031900
sre_c33.760M,LINF_330031900
sre_c33.780N,LINF_330032000
sre_c33.790N,LINF_330032400
sre_c33.80,LINF_330007200
sre_c33.800O,LINF_330034150
sre_c33.810L,LINF_330034400
sre_c33.820M,LINF_330034400
sre_c33.840O,LINF_330036000
sre_c33.860Q,LINF_330037200
sre_c33.870P,LINF_330037600
sre_c33.880P,LINF_330037730
sre_c33.890Q,LINF_330037730
sre_c33.900,LINF_330037900
sre_c33.90B,LINF_330007450
sre_c33.910,LINF_330038230
sre_c33.920P,LINF_330038260
sre_c33.940Q,LINF_330038475
sre_c33.950P,LINF_330038475
sre_c33.960P,LINF_330038575
sre_c33.970Q,LINF_330038590
sre_c33.980,LINF_330038590
sre_c33.990P,LINF_330038590
sre_c34.1000R,LINF_340034300
sre_c34.100B,LINF_340008350
sre_c34.1080S,LINF_340035100
sre_c34.1090S,LINF_340035800
sre_c34.1100S,LINF_340035800
sre_c34.110B,LINF_340008350
sre_c34.1110S,LINF_340036050
sre_c34.1130T,LINF_340037300
sre_c34.1140,LINF_340037300
sre_c34.1150U,LINF_340037350
sre_c34.1160V,LINF_340037350
sre_c34.1170T,LINF_340037600
sre_c34.1180W,LINF_340037800
sre_c34.1200V,LINF_340037850
sre_c34.1210T,LINF_340038100
sre_c34.1220W,LINF_340038150
sre_c34.1250X,LINF_340038400
sre_c34.1270X,LINF_340038700
sre_c34.1280V,LINF_340038800
sre_c34.1290X,LINF_340038800
sre_c34.1300X,LINF_340039100
sre_c34.1320Z,LINF_340039400
sre_c34.1340,LINF_340040800
sre_c34.1350,LINF_340040900
sre_c34.1360Y,LINF_340041050
sre_c34.1370,LINF_340041200
sre_c34.1380,LINF_340043400
sre_c34.1390,LINF_340043400
sre_c34.1400G,LINF_340043700
sre_c34.1410AA,LINF_340044150
sre_c34.1420,LINF_340046400
sre_c34.1430AA,LINF_340046600
sre_c34.1440,LINF_340047000
sre_c34.1450AB,LINF_340047250
sre_c34.1460AB,LINF_340047300
sre_c34.1470,LINF_340048700
sre_c34.1480,LINF_340048700
sre_c34.1490AC,LINF_340050550
sre_c34.1500AC,LINF_340050650
sre_c34.160,LINF_340010650
sre_c34.170,LINF_340010650
sre_c34.180,LINF_340010950
sre_c34.190E,LINF_340010950
sre_c34.200,LINF_340011150
sre_c34.20A,LINF_340004900
sre_c34.240,LINF_340012000
sre_c34.250,LINF_340012450
sre_c34.260C,LINF_340013250
sre_c34.270C,LINF_340013500
sre_c34.280C,LINF_340013600
sre_c34.290C,LINF_340013800
sre_c34.300E,LINF_340014100
sre_c34.30A,LINF_340004900
sre_c34.310C,LINF_340014600
sre_c34.320C,LINF_340014760
sre_c34.330C,LINF_340015200
sre_c34.400E,LINF_340015900
sre_c34.410D,LINF_340016100
sre_c34.420E,LINF_340016100
sre_c34.430D,LINF_340016850
sre_c34.470E,LINF_340017500
sre_c34.480,LINF_340017550
sre_c34.490,LINF_340017550
sre_c34.500F,LINF_340018600
sre_c34.50A,LINF_340005200
sre_c34.510F,LINF_340018700
sre_c34.520,LINF_340019500
sre_c34.530F,LINF_340020200
sre_c34.540G,LINF_340021600
sre_c34.550,LINF_340022200
sre_c34.560,LINF_340022850
sre_c34.570E,LINF_340022900
sre_c34.60A,LINF_340005600
sre_c34.620J,LINF_340025100
sre_c34.630J,LINF_340025800
sre_c34.640K,LINF_340026200
sre_c34.650G,LINF_340026200
sre_c34.660H,LINF_340026200
sre_c34.670K,LINF_340026700
sre_c34.680G,LINF_340026700
sre_c34.690,LINF_340026900
sre_c34.70,LINF_340006100
sre_c34.700J,LINF_340027100
sre_c34.710K,LINF_340027100
sre_c34.720G,LINF_340027100
sre_c34.730H,LINF_340027100
sre_c34.740J,LINF_340027150
sre_c34.750,LINF_340028200
sre_c34.760N,LINF_340029000
sre_c34.770L,LINF_340029200
sre_c34.780M,LINF_340029200
sre_c34.790L,LINF_340029300
sre_c34.80,LINF_340006500
sre_c34.800M,LINF_340029300
sre_c34.810,LINF_340029300
sre_c34.820N,LINF_340029500
sre_c34.830N,LINF_340030000
sre_c34.840L,LINF_340030000
sre_c34.850M,LINF_340030000
sre_c34.860N,LINF_340030400
sre_c34.880O,LINF_340032000
sre_c34.890P,LINF_340032000
sre_c34.900Q,LINF_340032500
sre_c34.910O,LINF_340032600
sre_c34.920,LINF_340033425
sre_c34.930Q,LINF_340033475
sre_c34.940Q,LINF_340033650
sre_c34.950O,LINF_340033700
sre_c34.960P,LINF_340033700
sre_c34.970Q,LINF_340033750
sre_c34.980,LINF_340033800
sre_c34.990Q,LINF_340034100
sre_c35.1000U,LINF_350045600
sre_c35.100H,LINF_350011100
sre_c35.1010,LINF_350046600
sre_c35.1020,LINF_350046600
sre_c35.1030W,LINF_350048000
sre_c35.1040H,LINF_350048200
sre_c35.1050X,LINF_350048200
sre_c35.1060W,LINF_350048250
sre_c35.1070,LINF_350048700
sre_c35.1080,LINF_350048700
sre_c35.1090H,LINF_350048700
sre_c35.110,LINF_350011600
sre_c35.1100H,LINF_350048700
sre_c35.1110X,LINF_350048700
sre_c35.1120Y,LINF_350050300
sre_c35.1130Z,LINF_350050700
sre_c35.1140Y,LINF_350051150
sre_c35.1150Z,LINF_350052050
sre_c35.1160Y,LINF_350052100
sre_c35.1170Y,LINF_350052600
sre_c35.1180Y,LINF_350053500
sre_c35.1190Y,LINF_350053800
sre_c35.1200Y,LINF_350053800
sre_c35.120C,LINF_350011700
sre_c35.1210AA,LINF_350054750
sre_c35.1220Y,LINF_350054900
sre_c35.1240AB,LINF_350055450
sre_c35.1250AC,LINF_350055450
sre_c35.1260AB,LINF_350055500
sre_c35.1270AA,LINF_350055600
sre_c35.1280AA,LINF_350056000
sre_c35.1290AA,LINF_350056200
sre_c35.1310AA,LINF_350057400
sre_c35.1320AD,LINF_350057500
sre_c35.1330AD,LINF_350057600
sre_c35.1340,LINF_350059100
sre_c35.1350AB,LINF_350059100
sre_c35.1360,LINF_350059300
sre_c35.1370,LINF_350059300
sre_c35.1380AB,LINF_350059400
sre_c35.150,LINF_350012250
sre_c35.160,LINF_350012800
sre_c35.180,LINF_350012950
sre_c35.190D,LINF_350012950
sre_c35.200D,LINF_350013700
sre_c35.210E,LINF_350014400
sre_c35.220E,LINF_350014700
sre_c35.230F,LINF_350014930
sre_c35.240E,LINF_350014960
sre_c35.260E,LINF_350015300
sre_c35.290,LINF_350016200
sre_c35.30A,LINF_350006930
sre_c35.320I,LINF_350017400
sre_c35.330I,LINF_350017850
sre_c35.340F,LINF_350018500
sre_c35.350I,LINF_350019100
sre_c35.360J,LINF_350019700
sre_c35.370K,LINF_350019700
sre_c35.400K,LINF_350019930
sre_c35.40A,LINF_350007400
sre_c35.410J,LINF_350019930
sre_c35.430L,LINF_350020700
sre_c35.450L,LINF_350022100
sre_c35.460L,LINF_350022300
sre_c35.480L,LINF_350023200
sre_c35.490,LINF_350024600
sre_c35.500M,LINF_350025700
sre_c35.50B,LINF_350007800
sre_c35.510N,LINF_350025900
sre_c35.530M,LINF_350026200
sre_c35.540,LINF_350026500
sre_c35.550,LINF_350027900
sre_c35.560,LINF_350028500
sre_c35.580H,LINF_350029100
sre_c35.590H,LINF_350029100
sre_c35.60,LINF_350008900
sre_c35.600,LINF_350029100
sre_c35.610,LINF_350029400
sre_c35.630P,LINF_350030600
sre_c35.640H,LINF_350031200
sre_c35.650P,LINF_350032000
sre_c35.660,LINF_350032600
sre_c35.670H,LINF_350033100
sre_c35.680,LINF_350033100
sre_c35.690Q,LINF_350033100
sre_c35.700R,LINF_350033100
sre_c35.70B,LINF_350009000
sre_c35.710H,LINF_350033130
sre_c35.720Q,LINF_350033260
sre_c35.730R,LINF_350033260
sre_c35.740H,LINF_350033400
sre_c35.750H,LINF_350034500
sre_c35.760H,LINF_350034500
sre_c35.770H,LINF_350035400
sre_c35.790,LINF_350035900
sre_c35.800,LINF_350036100
sre_c35.810S,LINF_350037700
sre_c35.820S,LINF_350038700
sre_c35.830S,LINF_350038800
sre_c35.840T,LINF_350039900
sre_c35.870T,LINF_350040200
sre_c35.880U,LINF_350040600
sre_c35.890,LINF_350041050
sre_c35.90,LINF_350011100
sre_c35.900V,LINF_350041100
sre_c35.920U,LINF_350041200
sre_c35.930U,LINF_350041200
sre_c35.950V,LINF_350042200
sre_c35.960U,LINF_350042200
sre_c35.980,LINF_350045100
sre_c35.990U,LINF_350045300
sre_c36.1000Y,LINF_360052250
sre_c36.100C,LINF_360007800
sre_c36.1010,LINF_360052500
sre_c36.1020Z,LINF_360054700
sre_c36.1030AA,LINF_360054800
sre_c36.1040Z,LINF_360054800
sre_c36.1050Z,LINF_360054900
sre_c36.1060AA,LINF_360055000
sre_c36.1070,LINF_360055600
sre_c36.1080Z,LINF_360056400
sre_c36.1090Z,LINF_360057300
sre_c36.110,LINF_360009400
sre_c36.1110AB,LINF_360058750
sre_c36.1120AC,LINF_360058750
sre_c36.1140AB,LINF_360059300
sre_c36.1150AC,LINF_360059300
sre_c36.1160,LINF_360059500
sre_c36.1180,LINF_360060900
sre_c36.1190,LINF_360060900
sre_c36.1200AD,LINF_360061700
sre_c36.120D,LINF_360011750
sre_c36.1210AE,LINF_360062500
sre_c36.1220AF,LINF_360062500
sre_c36.1230,LINF_360062800
sre_c36.1240AE,LINF_360063300
sre_c36.1250AF,LINF_360063300
sre_c36.1260AD,LINF_360063400
sre_c36.1270AE,LINF_360063500
sre_c36.1290AD,LINF_360064800
sre_c36.1300AE,LINF_360064900
sre_c36.130E,LINF_360011750
sre_c36.1310AE,LINF_360066800
sre_c36.1320AG,LINF_360068450
sre_c36.1330AG,LINF_360068900
sre_c36.1340AH,LINF_360069000
sre_c36.1350AH,LINF_360069350
sre_c36.1360AG,LINF_360069500
sre_c36.1370,LINF_360070850
sre_c36.1380,LINF_360072300
sre_c36.1390AI,LINF_360072500
sre_c36.1400AI,LINF_360073850
sre_c36.140F,LINF_360012275
sre_c36.1410AJ,LINF_360073900
sre_c36.1420AJ,LINF_360074950
sre_c36.1430,LINF_360076000
sre_c36.1440AI,LINF_360076300
sre_c36.1450AI,LINF_360076300
sre_c36.1470AI,LINF_360077250
sre_c36.1480,LINF_360078500
sre_c36.1490AL,LINF_360078700
sre_c36.1500AL,LINF_360079000
sre_c36.150D,LINF_360012275
sre_c36.1510AI,LINF_360079000
sre_c36.1520AL,LINF_360079200
sre_c36.1540AI,LINF_360079300
sre_c36.1550AL,LINF_360079500
sre_c36.1570AL,LINF_360080850
sre_c36.160E,LINF_360012275
sre_c36.170,LINF_360012750
sre_c36.180F,LINF_360012800
sre_c36.190D,LINF_360012800
sre_c36.200E,LINF_360012800
sre_c36.20A,LINF_360005250
sre_c36.210F,LINF_360012950
sre_c36.220D,LINF_360012950
sre_c36.230E,LINF_360012950
sre_c36.240E,LINF_360013100
sre_c36.250G,LINF_360014100
sre_c36.260E,LINF_360014100
sre_c36.270,LINF_360014100
sre_c36.280G,LINF_360014100
sre_c36.290G,LINF_360014300
sre_c36.300H,LINF_360014800
sre_c36.30B,LINF_360005250
sre_c36.310H,LINF_360015000
sre_c36.320I,LINF_360015400
sre_c36.330,LINF_360016100
sre_c36.360J,LINF_360018000
sre_c36.380,LINF_360018550
sre_c36.390J,LINF_360018700
sre_c36.40,LINF_360005250
sre_c36.400K,LINF_360020150
sre_c36.420K,LINF_360021400
sre_c36.430M,LINF_360021400
sre_c36.440L,LINF_360021400
sre_c36.450K,LINF_360021500
sre_c36.460M,LINF_360021500
sre_c36.470L,LINF_360021550
sre_c36.480L,LINF_360021600
sre_c36.490L,LINF_360021650
sre_c36.500K,LINF_360021750
sre_c36.50A,LINF_360005800
sre_c36.510L,LINF_360022600
sre_c36.520N,LINF_360024650
sre_c36.530N,LINF_360025950
sre_c36.540,LINF_360026000
sre_c36.560,LINF_360027300
sre_c36.570,LINF_360027400
sre_c36.580,LINF_360027750
sre_c36.590O,LINF_360028400
sre_c36.600O,LINF_360029400
sre_c36.60B,LINF_360005800
