GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0005575	CC	p	cellular_component            	300/329	2474/2624	0.0151	0	300	1	1	1	0.325	LINF_010010100, LINF_020009800, LINF_020011000, LINF_030009600, LINF_050005500, LINF_050005900, LINF_050009600, LINF_050017400, LINF_060005400, LINF_060016800, LINF_070005800, LINF_070013000, LINF_070014900, LINF_070018200, LINF_080007900, LINF_080009800, LINF_080016900, LINF_090010600, LINF_090017900, LINF_090021000, LINF_090022400, LINF_100008800, LINF_100008900, LINF_100009100, LINF_100009300, LINF_100009400, LINF_100009500, LINF_100011800, LINF_100013850, LINF_100013900, LINF_100017200, LINF_100019200, LINF_110005500, LINF_110007000, LINF_110008700, LINF_110008800, LINF_110012200, LINF_110012300, LINF_110012900, LINF_110014300, LINF_110017100, LINF_120017600, LINF_130009500, LINF_130011500, LINF_130018900, LINF_130020800, LINF_140008500, LINF_140012800, LINF_140013200, LINF_140015000, LINF_140018400, LINF_140018600, LINF_140019600, LINF_140021100, LINF_150005500, LINF_150006300, LINF_150007200, LINF_150008000, LINF_150017000, LINF_150020900, LINF_150021800, LINF_150023000, LINF_160010400, LINF_160013000, LINF_160020900, LINF_170014800, LINF_170018800, LINF_170019300, LINF_170020500, LINF_180005700, LINF_180009000, LINF_180010400, LINF_180011800, LINF_180012200, LINF_180018600, LINF_180020300, LINF_180022300, LINF_190006600, LINF_190006900, LINF_190007300, LINF_190007800, LINF_190008500, LINF_190009400, LINF_190010200, LINF_190010300, LINF_190010600, LINF_190011700, LINF_190011800, LINF_190017300, LINF_190017400, LINF_190018700, LINF_190019000, LINF_190019700, LINF_200006600, LINF_200012300, LINF_210007900, LINF_210008600, LINF_210012200, LINF_210013500, LINF_210013900, LINF_210014700, LINF_210020600, LINF_210021500, LINF_210022400, LINF_210022900, LINF_210024000, LINF_210024600, LINF_210024700, LINF_220005800, LINF_220010200, LINF_220013600, LINF_220015600, LINF_230010500, LINF_230010700, LINF_230013100, LINF_230014000, LINF_230014600, LINF_230014800, LINF_230020500, LINF_230025500, LINF_230026200, LINF_240007800, LINF_240008300, LINF_240008400, LINF_240012700, LINF_240012800, LINF_240019300, LINF_240025600, LINF_250007000, LINF_250007200, LINF_250019200, LINF_250020200, LINF_250020700, LINF_250020900, LINF_250026900, LINF_250030000, LINF_260019100, LINF_260023900, LINF_260024900, LINF_270006600, LINF_270008200, LINF_270008800, LINF_270009800, LINF_270015600, LINF_270018900, LINF_270020760, LINF_270020900, LINF_270024400, LINF_270027100, LINF_270027400, LINF_270028300, LINF_270030200, LINF_280005800, LINF_280007300, LINF_280008300, LINF_280022200, LINF_280023300, LINF_280026200, LINF_280026600, LINF_280027400, LINF_280032200, LINF_280032300, LINF_290005900, LINF_290008900, LINF_290010600, LINF_290012400, LINF_290014100, LINF_290015200, LINF_290019000, LINF_290020900, LINF_290021100, LINF_290023500, LINF_290026700, LINF_290028700, LINF_290031600, LINF_290032100, LINF_290032200, LINF_290032800, LINF_290034100, LINF_290035700, LINF_290035800, LINF_300006300, LINF_300008500, LINF_300014400, LINF_300014900, LINF_300017900, LINF_300020100, LINF_300022500, LINF_300028900, LINF_300030900, LINF_300036400, LINF_300037300, LINF_300037500, LINF_300038700, LINF_300039600, LINF_300040600, LINF_300040800, LINF_300041000, LINF_300041100, LINF_300042700, LINF_310005100, LINF_310016700, LINF_310018700, LINF_310020800, LINF_310027000, LINF_310038200, LINF_320006300, LINF_320009500, LINF_320009900, LINF_320015100, LINF_320017100, LINF_320022600, LINF_320025500, LINF_320032200, LINF_320044000, LINF_330010700, LINF_330012200, LINF_330012300, LINF_330012400, LINF_330014800, LINF_330018000, LINF_330019100, LINF_330019200, LINF_330020800, LINF_330020900, LINF_330021100, LINF_330022100, LINF_330025500, LINF_330030300, LINF_330032400, LINF_330034400, LINF_330038800, LINF_330039200, LINF_340005600, LINF_340006100, LINF_340008000, LINF_340010300, LINF_340013800, LINF_340018700, LINF_340022200, LINF_340025100, LINF_340026200, LINF_340026700, LINF_340029300, LINF_340029500, LINF_340037300, LINF_340037350, LINF_340037600, LINF_340038800, LINF_340039300, LINF_340039800, LINF_340040800, LINF_340041200, LINF_340046600, LINF_350008900, LINF_350011600, LINF_350011700, LINF_350011900, LINF_350016000, LINF_350016200, LINF_350017400, LINF_350019700, LINF_350020700, LINF_350022100, LINF_350026000, LINF_350035900, LINF_350036100, LINF_350037700, LINF_350038800, LINF_350045100, LINF_350045300, LINF_350045600, LINF_350055600, LINF_360012800, LINF_360014100, LINF_360014300, LINF_360017400, LINF_360021600, LINF_360022600, LINF_360027400, LINF_360028400, LINF_360030300, LINF_360030700, LINF_360031200, LINF_360031600, LINF_360032100, LINF_360032800, LINF_360041200, LINF_360043000, LINF_360044300, LINF_360047000, LINF_360051300, LINF_360055000, LINF_360060900, LINF_360061700, LINF_360063500, LINF_360068900, LINF_360072500, LINF_360073900, LINF_360079300
GO:0032991	CC	p	protein-containing complex    	16/329	209/2624	0.0287	1	16	1	1	1	0.478	LINF_020009800, LINF_060016800, LINF_080016900, LINF_150005500, LINF_190011700, LINF_190011800, LINF_210008600, LINF_250020700, LINF_270008800, LINF_290005900, LINF_290032800, LINF_300039600, LINF_300040600, LINF_300041100, LINF_330010700, LINF_330025500
GO:0005634	CC	p	nucleus                       	7/329	111/2624	0.0403	5	7	1	1	1	0.503	LINF_080009800, LINF_090022400, LINF_250020700, LINF_330020900, LINF_330030300, LINF_360012800, LINF_360051300
GO:0003674	MF	e	molecular_function            	88/329	524/2624	0.00148	0	88	1	1	1	0.288	LINF_020009800, LINF_060005400, LINF_060013000, LINF_070016600, LINF_080016900, LINF_090022400, LINF_100008900, LINF_100011800, LINF_100013850, LINF_100013900, LINF_110007000, LINF_110011200, LINF_120006700, LINF_130007000, LINF_140012400, LINF_140012500, LINF_140012600, LINF_140012800, LINF_140013200, LINF_140018400, LINF_150005500, LINF_150006300, LINF_150017000, LINF_150020900, LINF_160010400, LINF_170014800, LINF_180007000, LINF_180009000, LINF_180018600, LINF_180021400, LINF_190006600, LINF_190011700, LINF_190011800, LINF_190021700, LINF_210006700, LINF_210007900, LINF_210008600, LINF_210012200, LINF_210013900, LINF_210014700, LINF_210020600, LINF_220007400, LINF_230014600, LINF_230020500, LINF_230025500, LINF_240008300, LINF_240008400, LINF_250017300, LINF_250021200, LINF_270009800, LINF_270020760, LINF_270033800, LINF_280005800, LINF_280007300, LINF_280026200, LINF_280027400, LINF_280032200, LINF_290012400, LINF_290015200, LINF_290020900, LINF_290023300, LINF_290032800, LINF_290035800, LINF_300006300, LINF_300027100, LINF_300027300, LINF_300028900, LINF_300036400, LINF_300037500, LINF_310005100, LINF_310038200, LINF_320017100, LINF_320025500, LINF_330025500, LINF_340005600, LINF_340026200, LINF_340026700, LINF_340039400, LINF_350005200, LINF_350045300, LINF_360012800, LINF_360014300, LINF_360026000, LINF_360030700, LINF_360032100, LINF_360036900, LINF_360068900, LINF_360079300
GO:0042910	MF	e	xenobiotic transmembrane transporter activity	3/329	3/2624	0.00196	3	3	1	1	1	0.288	LINF_100013850, LINF_100013900, LINF_310005100
GO:0015165	MF	e	pyrimidine nucleotide-sugar transmembrane transporter activity	3/329	3/2624	0.00196	5	3	1	1	1	0.288	LINF_180009000, LINF_240008300, LINF_240008400
GO:0005459	MF	e	UDP-galactose transmembrane transporter activity	3/329	3/2624	0.00196	6	3	1	1	1	0.288	LINF_180009000, LINF_240008300, LINF_240008400
GO:0003824	MF	e	catalytic activity            	55/329	298/2624	0.00204	1	55	1	1	1	0.288	LINF_060013000, LINF_070016600, LINF_090022400, LINF_100011800, LINF_110007000, LINF_120006700, LINF_130007000, LINF_140012400, LINF_140012500, LINF_140012600, LINF_140012800, LINF_140013200, LINF_140018400, LINF_160010400, LINF_170014800, LINF_180007000, LINF_180018600, LINF_180021400, LINF_190006600, LINF_190021700, LINF_210006700, LINF_210007900, LINF_210013900, LINF_210014700, LINF_210020600, LINF_220007400, LINF_230014600, LINF_230025500, LINF_250017300, LINF_270020760, LINF_270033800, LINF_280005800, LINF_280026200, LINF_280027400, LINF_290020900, LINF_290032800, LINF_290035800, LINF_300006300, LINF_300027100, LINF_300028900, LINF_300036400, LINF_300037500, LINF_310038200, LINF_320025500, LINF_330025500, LINF_340005600, LINF_340026200, LINF_340026700, LINF_340039400, LINF_360012800, LINF_360014300, LINF_360030700, LINF_360032100, LINF_360068900, LINF_360079300
GO:0022857	MF	e	transmembrane transporter activity	15/329	54/2624	0.00253	2	15	1	1	1	0.297	LINF_020009800, LINF_100008900, LINF_100013850, LINF_100013900, LINF_110011200, LINF_150017000, LINF_150020900, LINF_180009000, LINF_240008300, LINF_240008400, LINF_270009800, LINF_290023300, LINF_310005100, LINF_360026000, LINF_360036900
GO:0005215	MF	e	transporter activity          	15/329	57/2624	0.00377	1	15	1	1	1	0.38	LINF_020009800, LINF_100008900, LINF_100013850, LINF_100013900, LINF_110011200, LINF_150017000, LINF_150020900, LINF_180009000, LINF_240008300, LINF_240008400, LINF_270009800, LINF_290023300, LINF_310005100, LINF_360026000, LINF_360036900
GO:1901505	MF	e	carbohydrate derivative transmembrane transporter activity	4/329	7/2624	0.00623	3	4	1	1	1	0.488	LINF_180009000, LINF_240008300, LINF_240008400, LINF_360026000
GO:0015932	MF	e	nucleobase-containing compound transmembrane transporter activity	4/329	7/2624	0.00623	3	4	1	1	1	0.488	LINF_180009000, LINF_240008300, LINF_240008400, LINF_360026000
GO:0005338	MF	e	nucleotide-sugar transmembrane transporter activity	3/329	4/2624	0.00709	4	3	1	1	1	0.5	LINF_180009000, LINF_240008300, LINF_240008400
GO:0015193	MF	e	L-proline transmembrane transporter activity	2/329	2/2624	0.0157	6	2	1	1	1	0.746	LINF_100013850, LINF_100013900
GO:0015175	MF	e	neutral L-amino acid transmembrane transporter activity	2/329	2/2624	0.0157	4	2	1	1	1	0.746	LINF_100013850, LINF_100013900
GO:0019900	MF	e	kinase binding                	2/329	2/2624	0.0157	4	2	1	1	1	0.746	LINF_250021200, LINF_360014300
GO:0022858	MF	e	alanine transmembrane transporter activity	2/329	2/2624	0.0157	5	2	1	1	1	0.746	LINF_100013850, LINF_100013900
GO:0016853	MF	e	isomerase activity            	5/329	13/2624	0.0164	2	5	1	1	1	0.746	LINF_070016600, LINF_180007000, LINF_190021700, LINF_230025500, LINF_280026200
GO:0016773	MF	e	phosphotransferase activity, alcohol group as acceptor	9/329	33/2624	0.0169	4	9	1	1	1	0.746	LINF_190006600, LINF_210006700, LINF_210007900, LINF_270020760, LINF_290020900, LINF_300036400, LINF_340026700, LINF_360012800, LINF_360014300
GO:0009922	MF	e	fatty acid elongase activity  	5/329	14/2624	0.023	5	5	1	1	1	0.756	LINF_140012400, LINF_140012500, LINF_140012600, LINF_140012800, LINF_140013200
GO:0016301	MF	e	kinase activity               	10/329	41/2624	0.0302	4	10	1	1	1	0.756	LINF_190006600, LINF_210006700, LINF_210007900, LINF_210020600, LINF_270020760, LINF_290020900, LINF_300036400, LINF_340026700, LINF_360012800, LINF_360014300
GO:0003755	MF	e	peptidyl-prolyl cis-trans isomerase activity	2/329	3/2624	0.0431	4	2	1	1	1	0.756	LINF_070016600, LINF_190021700
GO:0016859	MF	e	cis-trans isomerase activity  	2/329	3/2624	0.0431	3	2	1	1	1	0.756	LINF_070016600, LINF_190021700
GO:0015101	MF	e	organic cation transmembrane transporter activity	3/329	7/2624	0.0464	3	3	1	1	1	0.756	LINF_100008900, LINF_100013850, LINF_100013900
